,Sequence,o1,o2,o3,o4,o5,o6,o7
0,"a large, grey chair to the left of the desk",0,0,0,0,0,0,0
1,"a large, grey chair  ",0,0,0,0,0,0,1
2,"a large, green chair facing forward",0,0,0,0,0,1,0
3,"a large, grey chair;",0,0,0,0,0,0,1
4,"a small, green desk  facing to the right",0,1,0,0,0,0,0
5,a small green desk facing the right,0,1,0,0,0,0,0
6,a desk facing forwards,1,0,1,0,0,0,0
7,a grey large desk,0,0,0,1,0,0,0
8,a small green desk to the right,0,1,0,0,0,0,0
9,a large green table,0,0,1,0,0,0,0
10,"a small, green chair that is facing to the right",0,0,0,0,1,0,0
11,a large green desk facing the front,0,0,1,0,0,0,0
12,a green chair facing forward,0,0,0,0,0,1,0
13,a small green desk facing right,0,1,0,0,0,0,0
14,"a small, green chair to the right",0,0,0,0,1,0,0
15,"a large, green chair, facing forwards",0,0,0,0,0,1,0
16,"a large, green chair  ",0,0,0,0,0,1,0
17,"a small, green desk is facing to the right",0,1,0,0,0,0,0
18,"a large, grey table",0,0,0,1,0,0,0
19,a large green chair facing forwards,0,0,0,0,0,1,0
20,a small green chair,0,0,0,0,1,0,0
21,"a small, green chair in the room",0,0,0,0,1,0,0
22,"a large, grey desk facing to the left, ",0,0,0,1,0,0,0
23,"a large, green chair facing forwards",0,0,0,0,0,1,0
24,"a large, gray chair facing to the left",0,0,0,0,0,0,1
25,"a large, green chair that is facing forwards",0,0,0,0,0,1,0
26,a small,0,0,0,0,0,0,0
27,a green desk facing to the left,0,0,0,0,0,0,0
28,a grey thing,0,0,0,1,0,0,1
29,"a large, grey chair facing to the  left",0,0,0,0,0,0,1
30,"a large, grey thing",0,0,0,1,0,0,1
31,a small green desk,1,1,0,0,0,0,0
32,a large green desk facing forward,0,0,1,0,0,0,0
33,"a large, grey desk  ",0,0,0,1,0,0,0
34,"a small, green desk facing to the right",0,1,0,0,0,0,0
35,"a small, grey thing",0,0,0,0,0,0,0
36,"a small, green chair faced to the right",0,0,0,0,1,0,0
37,"a small, green desk turned to the right",0,1,0,0,0,0,0
38,"a green desk, facing forwards",1,0,1,0,0,0,0
39,"a green, small chair facing to the right",0,0,0,0,1,0,0
40,a large desk facing to the left,0,0,0,1,0,0,0
41,a green small desk facing forwards,1,0,0,0,0,0,0
42,a big green chair facing forward,0,0,0,0,0,1,0
43,"a small, green desk facing forwards;",1,0,0,0,0,0,0
44,a grey chair facing the left,0,0,0,0,0,0,1
45,"a small, green chair facing right",0,0,0,0,1,0,0
46,"a small, green desk  facing forwards",1,0,0,0,0,0,0
47,a large green desk  facing forwards,0,0,1,0,0,0,0
48,a large thing facing to the left,0,0,0,1,0,0,1
49,a small desk,1,1,0,0,0,0,0
50,a small thing facing to the right,0,1,0,0,1,0,0
51,"a large, green chair ",0,0,0,0,0,1,0
52,a green desk facing the right,0,1,0,0,0,0,0
53,a desk facing to the right,0,1,0,0,0,0,0
54,a grey chair to the left,0,0,0,0,0,0,1
55,"a small, green desk  ",1,1,0,0,0,0,0
56,a small green desk  facing forwards,1,0,0,0,0,0,0
57,"a small green desk, facing to the right",0,1,0,0,0,0,0
58,"a large, green desk faces forwards",0,0,1,0,0,0,0
59,"a large, grey chair facing the left",0,0,0,0,0,0,1
60,a large chair facing to the left,0,0,0,0,0,0,1
61,"a  small, green desk facing to the right",0,1,0,0,0,0,0
62,"a large, grey chair, facing to the left",0,0,0,0,0,0,1
63,a grey thing facing forwards,0,0,0,0,0,0,0
64,"a small, green desk, facing forwards",1,0,0,0,0,0,0
65,a small green desk ,1,1,0,0,0,0,0
66,"a large, green desk facing forwards",0,0,1,0,0,0,0
67,"a grey, large desk facing to the left",0,0,0,1,0,0,0
68,a green chair ,0,0,0,0,1,1,0
69,"a large, green chair face forwards",0,0,0,0,0,1,0
70,"a small, green desk facing forwards ",1,0,0,0,0,0,0
71,a small desk facing right,0,1,0,0,0,0,0
72,"a large, green chair facing the camera",0,0,0,0,0,1,0
73,"a  large, grey chair facing to the left",0,0,0,0,0,0,1
74,a green thing facing to the left,0,0,0,0,0,0,0
75,"a small, grey thing facing forwards",0,0,0,0,0,0,0
76,"a large, grey chair""",0,0,0,0,0,0,1
77,"a small, green desk facing forwards  (1)",1,0,0,0,0,0,0
78,a large desk that is green and facing forwards,0,0,1,0,0,0,0
79,"a large, grey desk facing to the left of the room",0,0,0,1,0,0,0
80,"a small, green desk  (2)",1,1,0,0,0,0,0
81,a small chair facing to the right,0,0,0,0,1,0,0
82,a large green chair ,0,0,0,0,0,1,0
83,a large desk facing forward,0,0,1,0,0,0,0
84,a green chair facing to the right,0,0,0,0,1,0,0
85,"a large, grey desk ",0,0,0,1,0,0,0
86,"a small, green chair ",0,0,0,0,1,0,0
87,"a large, green desk chair facing forwards",0,0,0,0,0,0,0
88,a large green desk chair facing forwards,0,0,0,0,0,0,0
89,a large desk,0,0,1,1,0,0,0
90,"a large, green thing",0,0,1,0,0,1,0
91,"a large, grey chair ",0,0,0,0,0,0,1
92,a small thing,1,1,0,0,1,0,0
93,"a  large, green desk facing forwards",0,0,1,0,0,0,0
94,a grey thing facing to the right,0,0,0,0,0,0,0
95,"a large desk, green, facing forwards",0,0,1,0,0,0,0
96,a large green desk facing to the front,0,0,1,0,0,0,0
97,"a large, grey thing facing to the left",0,0,0,1,0,0,1
98,a desk,1,1,1,1,0,0,0
99,"a small, green desk facing forwards 1",1,0,0,0,0,0,0
100,a small green desk facing forward,1,0,0,0,0,0,0
101,"a small, green chair-facing to the right",0,0,0,0,1,0,0
102,"a small, green desk facing forwards'",1,0,0,0,0,0,0
103,"a small, green desk to the right",0,1,0,0,0,0,0
104,"a small, green chair is facing to the right",0,0,0,0,1,0,0
105,"a large, green chair",0,0,0,0,0,1,0
106,"a large, green thing facing to the left",0,0,0,0,0,0,0
107,a green chair,0,0,0,0,1,1,0
108,"a green, small desk facing forwards",1,0,0,0,0,0,0
109,"a large, grey chair facing forwards",0,0,0,0,0,0,0
110,a green thing facing to the right,0,1,0,0,1,0,0
111,"a large, grey desk;",0,0,0,1,0,0,0
112,"a small, green desk facing forwards""",1,0,0,0,0,0,0
113,a large grey chair,0,0,0,0,0,0,1
114,"a small, green desk chair facing to the right",0,0,0,0,0,0,0
115,"a small, green desk chair",0,0,0,0,0,0,0
116,"a large, grey desk facing forwards",0,0,0,0,0,0,0
117,a large green desk facing to the left,0,0,0,0,0,0,0
118,"a large, green desk facing to the left",0,0,0,0,0,0,0
119,a little green desk facing forward,1,0,0,0,0,0,0
120,"a large, green chair is facing forwards",0,0,0,0,0,1,0
121,a large green chair facing to the left,0,0,0,0,0,0,0
122,"a small,",0,0,0,0,0,0,0
123,"a small, green desk faces to the right",0,1,0,0,0,0,0
124,"a small green desk, facing forwards",1,0,0,0,0,0,0
125,"a large green chair, facing forwards",0,0,0,0,0,1,0
126,"a large, grey desk facing to the left,",0,0,0,1,0,0,0
127,"a large, grey desk facing left",0,0,0,1,0,0,0
128,"a large, green desk that is facing forwards",0,0,1,0,0,0,0
129,"a small, grey desk",0,0,0,0,0,0,0
130,"a small, green desk 2",1,1,0,0,0,0,0
131,a large grey chair facing the left,0,0,0,0,0,0,1
132,a green thing facing forwards,1,0,1,0,0,1,0
133,a large green desk,0,0,1,0,0,0,0
134,"a small, green chair face to the right",0,0,0,0,1,0,0
135,"a small, green desk facing forwards  ",1,0,0,0,0,0,0
136,"a large, grey chair",0,0,0,0,0,0,1
137,"a small, green thing facing forwards",1,0,0,0,0,0,0
138,"a small, green chair",0,0,0,0,1,0,0
139,"a small, green desk (2)",1,1,0,0,0,0,0
140,"a large desk, facing forwards",0,0,1,0,0,0,0
141,a thing facing to the left,0,0,0,1,0,0,1
142,"a small, green chair - facing to the right",0,0,0,0,1,0,0
143,"a large, grey desk faces to the left",0,0,0,1,0,0,0
144,"a large, grey desk chair facing to the left",0,0,0,0,0,0,0
145,"a large, green desk facing to the right",0,0,0,0,0,0,0
146,"a large, grey chair that is facing to the left",0,0,0,0,0,0,1
147,"a small, green chair facing  to the right",0,0,0,0,1,0,0
148,"a small, green thing",1,1,0,0,1,0,0
149,a,0,0,0,0,0,0,0
150,a green desk to the right,0,1,0,0,0,0,0
151,a small green desk is facing forwards,1,0,0,0,0,0,0
152,a grey chair facing forwards,0,0,0,0,0,0,0
153,a grey desk facing to the right,0,0,0,0,0,0,0
154,a large grey chair facing left,0,0,0,0,0,0,1
155,a thing facing to the right,0,1,0,0,1,0,0
156,"a small, green, desk facing forwards",1,0,0,0,0,0,0
157,a desk facing the right,0,1,0,0,0,0,0
158,a large grey chair facing to the left,0,0,0,0,0,0,1
159,a chair,0,0,0,0,1,1,1
160,"a large, green table",0,0,1,0,0,0,0
161,a green desk facing right,0,1,0,0,0,0,0
162,"a large, grey desk faced to the left",0,0,0,1,0,0,0
163,"a large, green desk facing the front",0,0,1,0,0,0,0
164,a small chair,0,0,0,0,1,0,0
165,"a small, green chair 5",0,0,0,0,1,0,0
166,a desk facing left,0,0,0,1,0,0,0
167,a green desk chair facing to the right,0,0,0,0,0,0,0
168,"a large, grey chair facing to the left",0,0,0,0,0,0,1
169,"a small, green desk ",1,1,0,0,0,0,0
170,a green chair is facing forwards,0,0,0,0,0,1,0
171,"a small, green chair, facing to the right",0,0,0,0,1,0,0
172,"a small, green desk",1,1,0,0,0,0,0
173,a grey chair ,0,0,0,0,0,0,1
174,"a large, green chair facing the front",0,0,0,0,0,1,0
175,a large chair,0,0,0,0,0,1,1
176,"a small, green desk, facing to the right",0,1,0,0,0,0,0
177,a small green desk facing forwards,1,0,0,0,0,0,0
178,a small desk facing to the right,0,1,0,0,0,0,0
179,"a small, grey chair",0,0,0,0,0,0,0
180,"a small, green desk facing forwards in a room",1,0,0,0,0,0,0
181,a large green desk is facing forwards,0,0,1,0,0,0,0
182,a thing facing forwards,1,0,1,0,0,1,0
183,"a small, green chair looking to the right",0,0,0,0,1,0,0
184,a chair facing to the right,0,0,0,0,1,0,0
185,a grey desk facing to the left,0,0,0,1,0,0,0
186,a grey chair,0,0,0,0,0,0,1
187,a green thing,1,1,1,0,1,1,0
188,a green chair facing the front,0,0,0,0,0,1,0
189,"a green, large desk facing forwards",0,0,1,0,0,0,0
190,"a large, green chair faces forwards",0,0,0,0,0,1,0
191,"a large, green desk in the room",0,0,1,0,0,0,0
192,a green desk chair facing forwards,0,0,0,0,0,0,0
193,"a large, green chair-facing forwards",0,0,0,0,0,1,0
194,"a large, grey chair is facing to the left",0,0,0,0,0,0,1
195,a grey desk facing forwards,0,0,0,0,0,0,0
196,"a small, green desk that is facing to the right",0,1,0,0,0,0,0
197,"a large, grey desk facing the left",0,0,0,1,0,0,0
198,"a large, grey desk facing to the left ",0,0,0,1,0,0,0
199,"a small, green chair facing to the right",0,0,0,0,1,0,0
200,"a small, green desk facing to the left",0,0,0,0,0,0,0
201,a large green chair facing the front,0,0,0,0,0,1,0
202,a large green desk ,0,0,1,0,0,0,0
203,a large gray chair facing to the left,0,0,0,0,0,0,1
204,"a small, grey desk facing to the right",0,0,0,0,0,0,0
205,"a large, grey, chair facing to the left",0,0,0,0,0,0,1
206,a green table,1,1,1,0,0,0,0
207,"a small, green chair that faces to the right",0,0,0,0,1,0,0
208,a chair facing forwards,0,0,0,0,0,1,0
209,"a large, grey thing facing forwards",0,0,0,0,0,0,0
210,a large thing facing forwards,0,0,1,0,0,1,0
211,"a small, green desk facing forwards",1,0,0,0,0,0,0
212,"a small, green chair  facing to the right",0,0,0,0,1,0,0
213,"a small, green desk turning to the right",0,1,0,0,0,0,0
214,"a small, green chair  ",0,0,0,0,1,0,0
215,"a large, grey desk",0,0,0,1,0,0,0
216,a small green desk turned to the right,0,1,0,0,0,0,0
217,"a small, green chair facing to the left",0,0,0,0,0,0,0
218,"a large, grey desk facing to the left",0,0,0,1,0,0,0
219,"a small, green table",1,1,0,0,0,0,0
220,"a large desk, green in color, facing forwards",0,0,1,0,0,0,0
221,a large green desk facing forwards,0,0,1,0,0,0,0
222,a large green desk facing to the right,0,0,0,0,0,0,0
223,"a large, grey chair face to the left",0,0,0,0,0,0,1
224,"a large, green desk, facing forwards, in the room",0,0,1,0,0,0,0
225,a thing,1,1,1,1,1,1,1
226,"a small, green chair (5)",0,0,0,0,1,0,0
227,a large thing,0,0,1,1,0,1,1
228,a large desk facing forwards,0,0,1,0,0,0,0
229,"a small, green chair facing the right",0,0,0,0,1,0,0
230,a green chair facing the right,0,0,0,0,1,0,0
231,a desk facing right,0,1,0,0,0,0,0
232,"a small, green desk, facing right",0,1,0,0,0,0,0
233,a grey chair facing to the left,0,0,0,0,0,0,1
234,a small desk facing forwards,1,0,0,0,0,0,0
235,a green desk facing to the right,0,1,0,0,0,0,0
236,"a large, grey desk face to the left",0,0,0,1,0,0,0
237,"a large, grey desk facing to the left""",0,0,0,1,0,0,0
238,"a large green desk, facing forwards",0,0,1,0,0,0,0
239,"a large, green thing facing forwards",0,0,1,0,0,1,0
